N_agents,sigma,steps,exponent,N_simulations,monopoly%,commune%,dynamic
10,0.1,10000,6.45,120.0,0.4790917574909175,0.4455471119554712,mixed
10,0.1,10000,6.5,120.0,0.5663840282638403,0.3643418991434189,mixed
10,0.1,10000,6.55,120.0,0.6868543145685431,0.25629537046295364,mixed
10,0.1,10000,6.6,120.0,0.6599046761990468,0.27681898476818984,mixed
10,0.1,10000,6.65,120.0,0.7934526547345265,0.16110555611105548,mixed
10,0.1,10000,6.7,120.0,0.8561020564610203,0.10784754857847544,mixed
10,0.1,10000,6.75,120.0,0.9114848515148486,0.061125554111255496,monopoly
10,0.1,10000,6.8,120.0,0.9194637202946373,0.053582641735826365,monopoly
10,0.1,10000,6.85,120.0,0.9287611238876113,0.0465836749658367,monopoly
10,0.1,10000,6.9,120.0,0.9469326400693264,0.0321051228210512,monopoly
10,0.1,10000,6.95,120.0,0.9392797386927976,0.03642435756424353,monopoly
10,0.1,10000,7.0,20.0,0.9625537446255374,0.0193130686931306,monopoly
10,0.1,10000,7.05,20.0,0.9537796220377962,0.0247425257474252,monopoly
10,0.1,10000,7.1,20.0,0.9671832816718329,0.0151434856514348,monopoly
10,0.1,10000,7.15,20.0,0.9685931406859313,0.01491350864913505,monopoly
10,0.1,10000,7.2,20.0,0.9686981301869813,0.013288671132886651,monopoly
10,0.1,10000,7.25,20.0,0.971937806219378,0.01059894010598935,monopoly
10,0.1,10000,7.3,20.0,0.9766923307669233,0.00856914308569135,monopoly
10,0.1,10000,7.35,20.0,0.9772372762723727,0.0074642535746425,monopoly
10,0.1,10000,7.4,20.0,0.976187381261874,0.0087491250874912,monopoly
10,0.1,10000,7.45,20.0,0.9776722327767223,0.00719928007199275,monopoly
10,0.1,10000,7.5,20.0,0.979042095790421,0.0055844415558443505,monopoly
10,0.1,10000,7.55,20.0,0.9788821117888211,0.0061493850614938,monopoly
10,0.1,10000,7.6,20.0,0.9808769123087691,0.0050494950504949,monopoly
10,0.1,10000,7.65,20.0,0.9790470952904708,0.00531446855314465,monopoly
10,0.1,10000,7.7,20.0,0.9813918608139185,0.00409459054094585,monopoly
10,0.1,10000,7.75,20.0,0.9837416258374163,0.0027697230276972,monopoly
10,0.1,10000,7.8,20.0,0.9825717428257175,0.00312468753124685,monopoly
10,0.1,10000,7.85,20.0,0.9815518448155186,0.0032046795320467497,monopoly
10,0.1,10000,7.9,20.0,0.9817518248175182,0.0038196180381961497,monopoly
10,0.1,10000,7.95,20.0,0.982041795820418,0.00296970302969695,monopoly
20,0.1,10000,10.0,5.0,0.0,0.997980201979802,commune
20,0.1,10000,10.1,5.0,0.0,0.997840215978402,commune
20,0.1,10000,10.2,5.0,0.0,0.9958804119588042,commune
20,0.1,10000,10.3,5.0,0.0,0.9965403459654034,commune
20,0.1,10000,10.4,5.0,0.0,0.9955604439556044,commune
20,0.1,10000,10.5,5.0,0.0,0.9945805419458054,commune
20,0.1,10000,10.6,5.0,0.0,0.9943005699430056,commune
20,0.1,10000,10.7,5.0,0.0,0.9931406859314068,commune
20,0.1,10000,10.8,5.0,0.0,0.9924407559244076,commune
20,0.1,10000,10.9,5.0,0.0,0.9894610538946106,commune
20,0.1,10000,11.0,5.0,0.0,0.99004099590041,commune
20,0.1,10000,11.1,5.0,0.0,0.9894810518948104,commune
20,0.1,10000,11.2,5.0,0.0,0.986141385861414,commune
20,0.1,10000,11.3,5.0,0.0,0.9837016298370164,commune
20,0.1,10000,11.4,5.0,0.0,0.981981801819818,commune
20,0.1,10000,11.5,5.0,0.0,0.9790620937906208,commune
20,0.1,10000,11.6,5.0,0.0,0.974942505749425,commune
20,0.1,10000,11.7,5.0,0.0,0.9717028297170284,commune
20,0.1,10000,11.8,5.0,0.0,0.9685431456854314,commune
20,0.1,10000,11.9,5.0,0.0,0.9668833116688328,commune
20,0.1,10000,12.0,25.0,0.0,0.9623712628737127,commune
20,0.1,10000,12.1,25.0,0.03252674732526745,0.923960103989601,commune
20,0.1,10000,12.2,25.0,0.0,0.9551694830516948,commune
20,0.1,10000,12.3,25.0,0.01043895610438955,0.9363438656134386,commune
20,0.1,10000,12.4,25.0,0.01084141585841415,0.931071892810719,commune
