N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
3,1.0,0.5,1.14,1.0,0.1,10000,500.0,0.3146052748546035,0.0046158655168298994
3,1.0,0.5,1.16,1.0,0.1,10000,500.0,0.3140627268799563,0.004553518041710199
3,1.0,0.5,1.18,1.0,0.1,10000,500.0,0.3087229759502172,0.0047521470443899
3,1.0,0.5,1.2,1.0,0.1,10000,500.0,0.3077593375452243,0.0044944635225814
3,1.0,0.5,1.22,1.0,0.1,10000,500.0,0.3103055509055003,0.0045552630272673
3,1.0,0.5,1.24,1.0,0.1,10000,500.0,0.3175918357553043,0.0047452542603031
3,1.0,0.5,1.26,1.0,0.1,10000,500.0,0.3163581694685041,0.0045919133473447
3,1.0,0.5,1.28,1.0,0.1,10000,500.0,0.3129392535865463,0.0045713630176102
3,1.0,0.5,1.3,1.0,0.1,10000,500.0,0.3125805216647729,0.0048259737243392
3,1.0,0.5,1.32,1.0,0.1,10000,500.0,0.3098353267571731,0.0046848661712935
3,1.0,0.5,1.34,1.0,0.1,10000,600.0,0.3050504562643253,0.00609014889999506
3,1.0,0.5,1.36,1.0,0.1,10000,500.0,0.3105823293556904,0.004694253171505999
3,1.0,0.5,1.38,1.0,0.1,10000,500.0,0.3055086400246622,0.0048287084427673
3,1.0,0.5,1.4,1.0,0.1,10000,500.0,0.3063217768741169,0.0046007209242983
3,1.0,0.5,1.42,1.0,0.1,10000,500.0,0.3063502043811237,0.004694647476805499
3,1.0,0.5,1.44,1.0,0.1,10000,500.0,0.2986163549047962,0.0047686529271084
3,1.0,0.5,1.46,1.0,0.1,10000,500.0,0.2948333155179261,0.0045666401994
3,1.0,0.5,1.48,1.0,0.1,10000,500.0,0.301508184599207,0.0047253771784947
4,1.0,0.5,0.02,1.0,0.1,10000,500.0,0.1189736969755261,0.0006270030400347999
4,1.0,0.5,0.04,1.0,0.1,10000,500.0,0.1900949124361595,0.0011359451867524
4,1.0,0.5,0.06,1.0,0.1,10000,500.0,0.2355459443297579,0.0014455717127758
4,1.0,0.5,0.08,1.0,0.1,10000,500.0,0.2727539404374867,0.0018253180834050997
4,1.0,0.5,0.1,1.0,0.1,10000,500.0,0.2997443376748004,0.0020729906866083
4,1.0,0.5,0.12,1.0,0.1,10000,500.0,0.3126293065215288,0.0022491688944466
4,1.0,0.5,0.14,1.0,0.1,10000,600.0,0.3341106899736855,0.0031838282309259156
4,1.0,0.5,0.16,1.0,0.1,10000,500.0,0.3478321327248396,0.0026220108896702
4,1.0,0.5,0.18,1.0,0.1,10000,500.0,0.3537723802656416,0.0028304647317896996
4,1.0,0.5,0.2,1.0,0.1,10000,500.0,0.3564158554845883,0.0028925836102088997
4,1.0,0.5,0.22,1.0,0.1,10000,500.0,0.3643282598430786,0.0030735874900989
