N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
2,100,0.5,1.12,1.0,0.05,10000,5.0,0.026068286278792995,0.021456034609068395
2,100,0.5,1.12,1.0,0.075,10000,5.0,0.1277172535351499,0.0117506196611875
2,100,0.5,1.12,1.0,0.1,10000,5.0,0.2032805044117374,0.058302040405803196
2,100,0.5,1.14,1.0,0.025,10000,5.0,0.0102710720280016,0.0065173963728274
2,100,0.5,1.14,1.0,0.05,10000,5.0,0.0979278545424259,0.0301831315646822
2,100,0.5,1.14,1.0,0.075,10000,5.0,0.1647773693875446,0.057655869415169
2,100,0.5,1.14,1.0,0.1,10000,5.0,0.1717917967219144,0.0419914065976027
2,100,0.5,1.16,1.0,0.025,10000,5.0,0.0014636503253591,0.0033461035986373
2,100,0.5,1.16,1.0,0.05,10000,5.0,0.0711181378930407,0.0161060686378519
2,100,0.5,1.16,1.0,0.075,10000,5.0,0.1151235616061238,0.023274920017487
2,100,0.5,1.16,1.0,0.1,10000,5.0,0.1871641352270641,0.028591701633621503
2,100,0.5,1.18,1.0,0.025,10000,5.0,0.0218073010613489,0.012910825962239999
2,100,0.5,1.18,1.0,0.05,10000,5.0,0.0449763299303789,0.0165269511493907
2,100,0.5,1.18,1.0,0.075,10000,5.0,0.1288563629964007,0.0497121738594139
2,100,0.5,1.18,1.0,0.1,10000,5.0,0.21882147712786632,0.041527799768088396
2,100,0.5,1.2,1.0,0.025,10000,5.0,0.05143310956433951,0.0070775494118669995
2,100,0.5,1.2,1.0,0.05,10000,5.0,0.0334811589118062,0.0157663909913125
2,100,0.5,1.2,1.0,0.075,10000,5.0,0.0494460548735457,0.030210686180511
2,100,0.5,1.2,1.0,0.1,10000,5.0,0.2889305965082313,0.0260103849961285
2,100,0.5,1.22,1.0,0.025,10000,5.0,0.0149860411181296,0.0090843437806452
2,100,0.5,1.22,1.0,0.05,10000,5.0,0.0944197069618139,0.0241059573623934
2,100,0.5,1.22,1.0,0.075,10000,5.0,0.072879964172494,0.026846235525845797
2,100,0.5,1.22,1.0,0.1,10000,5.0,0.2361699665062747,0.0322174792703038
2,100,0.5,1.24,1.0,0.025,10000,5.0,0.0107140777898807,0.0122058272723367
2,100,0.5,1.24,1.0,0.05,10000,5.0,0.0585182651970068,0.014498093858789798
2,100,0.5,1.24,1.0,0.075,10000,5.0,0.1350954041545678,0.044891119577631
2,100,0.5,1.24,1.0,0.1,10000,5.0,0.2723618482786664,0.012958033317296098
2,100,0.5,1.26,1.0,0.025,10000,5.0,-0.0038088115618247,0.009450181777311098
2,100,0.5,1.26,1.0,0.05,10000,5.0,0.0217476310496388,0.025649804969672497
2,100,0.5,1.26,1.0,0.075,10000,5.0,0.1227404700860164,0.0191372839383875
2,100,0.5,1.26,1.0,0.1,10000,5.0,0.12138744817688289,0.036601297360068494
2,100,0.5,1.28,1.0,0.025,10000,5.0,0.0199544973979032,0.015566380014087697
2,100,0.5,1.28,1.0,0.05,10000,5.0,0.0140604325675453,0.023934270524475998
2,100,0.5,1.28,1.0,0.075,10000,5.0,0.0708136110052577,0.0222963194818926
2,100,0.5,1.28,1.0,0.1,10000,5.0,0.2161721873927705,0.056656763301953794
2,100,0.5,1.3,1.0,0.025,10000,5.0,0.0125742956943866,0.006230840081031899
2,100,0.5,1.3,1.0,0.05,10000,5.0,0.0419711990009582,0.0092073112578936
2,100,0.5,1.3,1.0,0.075,10000,5.0,0.135796885722035,0.0268692053751277
2,100,0.5,1.3,1.0,0.1,10000,5.0,0.2667205081380498,0.0486641226316325
2,100,0.5,1.32,1.0,0.025,10000,5.0,-0.0052293177111387,0.0119928789611003
2,100,0.5,1.32,1.0,0.05,10000,5.0,0.0170386297629202,0.016161117232551796
2,100,0.5,1.32,1.0,0.075,10000,5.0,0.1334038644902447,0.0309363971574943
2,100,0.5,1.32,1.0,0.1,10000,5.0,0.2288637465001795,0.0336722671219732
2,100,0.5,1.34,1.0,0.025,10000,5.0,-0.0085904838755323,0.0131049601369277
2,100,0.5,1.34,1.0,0.05,10000,5.0,0.0358621078367005,0.0171455616414292
2,100,0.5,1.34,1.0,0.075,10000,5.0,0.146659121237691,0.0221958416717162
2,100,0.5,1.34,1.0,0.1,10000,5.0,0.2828100803035074,0.0574289294952853
2,100,0.5,1.36,1.0,0.025,10000,5.0,0.0118448720612528,0.007009493880177
2,100,0.5,1.36,1.0,0.05,10000,5.0,0.0602184699297046,0.013759374494577998
2,100,0.5,1.36,1.0,0.075,10000,5.0,0.1511129393303446,0.0417941372746745
2,100,0.5,1.36,1.0,0.1,10000,5.0,0.1749715520685247,0.0426109565411058
2,100,0.5,1.38,1.0,0.025,10000,5.0,-0.0104118757234174,0.005111607945669
2,100,0.5,1.38,1.0,0.05,10000,5.0,0.0072097827976427,0.023890814159015998
2,100,0.5,1.38,1.0,0.075,10000,5.0,0.1490349774868427,0.05092294809766179
2,100,0.5,1.38,1.0,0.1,10000,5.0,0.1905307208568369,0.0267625028100164
2,100,0.5,1.4,1.0,0.025,10000,5.0,-0.0117667489304441,0.0105606321303622
2,100,0.5,1.4,1.0,0.05,10000,5.0,0.0160070532753642,0.0064629389308234
2,100,0.5,1.4,1.0,0.075,10000,5.0,0.0807663433842694,0.0388889236550455
2,100,0.5,1.4,1.0,0.1,10000,5.0,0.21967075296639954,0.0227961382194263
2,100,0.5,1.42,1.0,0.025,10000,5.0,-0.0006451307731752,0.0054646591246465
2,100,0.5,1.42,1.0,0.05,10000,5.0,0.0329882299683235,0.031621298434678
2,100,0.5,1.42,1.0,0.075,10000,5.0,0.1441248912117799,0.0296439138139947
2,100,0.5,1.42,1.0,0.1,10000,5.0,0.20255237756058636,0.0281631713257594
2,100,0.5,1.44,1.0,0.025,10000,5.0,0.0071823400994255,0.007872691802378
2,100,0.5,1.44,1.0,0.05,10000,5.0,0.0776045106643585,0.022517916760465998
2,100,0.5,1.44,1.0,0.075,10000,5.0,0.1433823698980123,0.014819051451623096
2,100,0.5,1.44,1.0,0.1,10000,5.0,0.1653359329075596,0.0534488366165374
2,100,0.5,1.46,1.0,0.025,10000,5.0,-0.0046472508555016,0.015962792947503197
2,100,0.5,1.46,1.0,0.05,10000,5.0,0.0533488477098489,0.018278221773888395
2,100,0.5,1.46,1.0,0.075,10000,5.0,0.1021973121951554,0.0237119322568469
2,100,0.5,1.46,1.0,0.1,10000,5.0,0.165868311539781,0.0211700439806217
2,100,0.5,1.48,1.0,0.025,10000,5.0,-0.002782451993298,0.00608049694153
2,100,0.5,1.48,1.0,0.05,10000,5.0,0.0170234389786819,0.0202616305003898
2,100,0.5,1.48,1.0,0.075,10000,5.0,0.1525480272690264,0.028299995701857
2,100,0.5,1.48,1.0,0.1,10000,5.0,0.138129257227307,0.0375828105092594
