N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
2,1.0,0.5,0.06,1.0,0.1,10000,100,-0.40220897415136636,-0.5060122519044745,0.1038032777531083,0.001780080216288413,0.017148593520546224
2,1.0,0.5,1.46,1.0,0.1,10000,100,-0.3245626912529866,-0.5015978694780876,0.17703517822510106,0.011792066850810074,0.06660860835136621
2,1.0,0.5,0.34,1.0,0.1,10000,100,-0.25469524507145236,-0.4990677682921767,0.2443725232207243,0.006410210923337277,0.026231307999988972
2,1.0,0.5,1.18,1.0,0.1,10000,100,-0.28947908852941984,-0.5073925815927811,0.21791349306336116,0.00931607390331794,0.04275124854526182
3,1.0,0.5,0.26,1.0,0.1,10000,100,-0.1852086376694435,-0.5168258509603463,0.3316172132909027,0.0067591462678366215,0.020382374608242465
2,1.0,0.5,0.62,1.0,0.1,10000,100,-0.26641717412254134,-0.5223734933613995,0.2559563192388582,0.008925062335009419,0.03486947445388351
2,1.0,0.5,0.36,1.0,0.1,10000,100,-0.24516443021817239,-0.4902091112800485,0.2450446810618761,0.006217165180705642,0.025371557357475344
2,1.0,0.5,0.08,1.0,0.1,10000,100,-0.39044419234594924,-0.5196633939083667,0.12921920156241748,0.0022656536629164954,0.01753341326615537
2,1.0,0.5,0.92,1.0,0.1,10000,100,-0.27871253611529884,-0.5080120491523048,0.2292995130370059,0.008388066179082571,0.036581264687329924
2,1.0,0.5,1.2,1.0,0.1,10000,100,-0.3018780011865537,-0.500196918118661,0.19831891693210732,0.010154786316546604,0.05120432520324323
2,1.0,0.5,1.48,1.0,0.1,10000,100,-0.3182940229930776,-0.5029890453155409,0.18469502232246338,0.011932570714416134,0.06460688850391852
3,1.0,0.5,0.28,1.0,0.1,10000,100,-0.1830954821065759,-0.49673206542656007,0.3136365833199843,0.006456663919399373,0.02058645025096461
2,1.0,0.5,0.64,1.0,0.1,10000,100,-0.256895005033588,-0.5018851997116356,0.2449901946780476,0.008498722871084018,0.03469005313560636
2,1.0,0.5,0.38,1.0,0.1,10000,100,-0.2595961561463706,-0.5249409049323949,0.26534474878602415,0.0063357477057229385,0.02387741884740342
2,1.0,0.5,0.9400000000000001,1.0,0.1,10000,100,-0.27279407119179244,-0.5005590210591843,0.22776494986739176,0.009103773097691144,0.03997003535000227
2,1.0,0.5,1.22,1.0,0.1,10000,100,-0.28320518259067556,-0.5091863500737481,0.2259811674830726,0.01028082833245851,0.045494181869064856
2,1.0,0.5,0.1,1.0,0.1,10000,100,-0.36383984896949145,-0.5148711210727902,0.1510312721032986,0.0024330704207491073,0.016109712822156435
3,1.0,0.5,0.02,1.0,0.1,10000,100,-0.42099027992342447,-0.5046922308202625,0.08370195089683795,0.00102449010520162,0.012239739865374187
3,1.0,0.5,0.3,1.0,0.1,10000,100,-0.1816261291591988,-0.5132739827610846,0.331647853601886,0.0071899895293928515,0.021679590117365272
2,1.0,0.5,0.66,1.0,0.1,10000,100,-0.2746845924263867,-0.517418419330025,0.2427338269036382,0.007866046555809622,0.03240605834032489
2,1.0,0.5,0.4,1.0,0.1,10000,100,-0.25786365761090985,-0.5081821828661671,0.2503185252552573,0.006420512781544515,0.025649371236097392
2,1.0,0.5,1.24,1.0,0.1,10000,100,-0.304487825054748,-0.5113111226266405,0.20682329757189247,0.010447920654922909,0.05051616900794833
2,1.0,0.5,0.96,1.0,0.1,10000,100,-0.28804031435347505,-0.5085985360078472,0.2205582216543721,0.009275115805241195,0.04205291344693491
2,1.0,0.5,0.12,1.0,0.1,10000,100,-0.34357498571362,-0.5116622666890661,0.16808728097544623,0.002936282743126755,0.017468797913125146
3,1.0,0.5,0.04,1.0,0.1,10000,100,-0.37336648696034286,-0.5149114502136654,0.14154496325332247,0.0019372553663554379,0.013686501602238854
3,1.0,0.5,0.32,1.0,0.1,10000,100,-0.17350377035834966,-0.5014643482197234,0.32796057786137384,0.006701283394462137,0.020433197911045007
2,1.0,0.5,0.68,1.0,0.1,10000,100,-0.27505291904724516,-0.5160186258680611,0.24096570682081592,0.007678029422647276,0.03186357728635935
2,1.0,0.5,0.42,1.0,0.1,10000,100,-0.26617552259416105,-0.5158786614332319,0.24970313883907097,0.005961512437776059,0.023874399278649608
2,1.0,0.5,1.26,1.0,0.1,10000,100,-0.3090283831352626,-0.4996085175198921,0.19058013438462956,0.010127038823626203,0.05313795614808296
2,1.0,0.5,0.14,1.0,0.1,10000,100,-0.3137069473999559,-0.4884560598841733,0.17474911248421726,0.0031961065837832077,0.018289687073929313
2,1.0,0.5,0.98,1.0,0.1,10000,100,-0.2813181810772785,-0.5034605907356925,0.22214240965841395,0.010402773198114766,0.04682929844018079
