N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
2,1.0,0.5,0.16,1.0,0.1,10000,100,-0.3161916612188329,-0.5135153912785831,0.19732373005975012,0.00374027904122875,0.018955039214473515
2,1.0,0.5,0.17,1.0,0.1,10000,100,-0.2985327418461968,-0.49930586152058437,0.20077311967438746,0.0037724654286703323,0.01878969373384491
2,1.0,0.5,0.18,1.0,0.1,10000,100,-0.3019795272655055,-0.5035478667974366,0.2015683395319313,0.004102430599596715,0.020352554419623185
2,1.0,0.5,0.19,1.0,0.1,10000,100,-0.3059285167802272,-0.5063731267834924,0.20044461000326538,0.003969124806121436,0.019801604074346404
2,1.0,0.5,0.2,1.0,0.1,10000,100,-0.28994797597640226,-0.4988444363165155,0.20889646034011325,0.004286612243432518,0.020520272274854735
2,1.0,0.5,0.21,1.0,0.1,10000,100,-0.29566229295176255,-0.5107457791291198,0.21508348617735729,0.004945153541064234,0.022991786254508043
2,1.0,0.5,0.22,1.0,0.1,10000,100,-0.29974629883480414,-0.5179702665240574,0.2182239676892533,0.004539179858431615,0.020800555990693557
2,1.0,0.5,0.23,1.0,0.1,10000,100,-0.29001806296471366,-0.5126993064925087,0.2226812435277952,0.004496668154220589,0.02019329550609103
2,1.0,0.5,0.24,1.0,0.1,10000,100,-0.2743520350661589,-0.5049225210380677,0.23057048597190877,0.00491482701314814,0.02131594159777644
2,1.0,0.5,0.25,1.0,0.1,10000,100,-0.28506934044900045,-0.516486658679266,0.23141731823026576,0.004192339670224179,0.01811592884354792
2,1.0,0.5,0.26,1.0,0.1,10000,100,-0.2766959679218479,-0.5030851268642352,0.2263891589423873,0.005154987166237062,0.02277046829591752
2,1.0,0.5,0.27,1.0,0.1,10000,100,-0.2734003550258614,-0.49947655358770215,0.22607619856184072,0.004562960682370088,0.02018328648215455
2,1.0,0.5,0.28,1.0,0.1,10000,100,-0.2701468758806069,-0.5014942186915107,0.23134734281090377,0.005265867996641014,0.02276173969694207
2,1.0,0.5,0.29,1.0,0.1,10000,100,-0.2713756628186989,-0.5068419891871689,0.23546632636847015,0.0051127292177693285,0.021713207559745335
2,1.0,0.5,0.3,1.0,0.1,10000,100,-0.2639678070618446,-0.504755280159261,0.2407874730974164,0.005195176625616849,0.02157577617634209
2,1.0,0.5,0.31,1.0,0.1,10000,100,-0.2607886399016212,-0.5098274666112018,0.2490388267095806,0.0056471476009609944,0.022675771788575275
2,1.0,0.5,0.32,1.0,0.1,10000,100,-0.25103957484335243,-0.4857594929070239,0.2347199180636715,0.005592778600304592,0.023827456342190193
2,1.0,0.5,0.33,1.0,0.1,10000,100,-0.25538343717605166,-0.508780048839062,0.2533966116630105,0.005256187938435212,0.020742929054731647
2,1.0,0.5,0.34,1.0,0.1,10000,100,-0.2453862430837572,-0.48505558573848234,0.23966934265472525,0.005798195255356591,0.02419247781602857
2,1.0,0.5,0.35000000000000003,1.0,0.1,10000,100,-0.2547657487803167,-0.49720469459418776,0.242438945813871,0.006308571676658323,0.026021279937018197
2,1.0,0.5,0.36,1.0,0.1,10000,100,-0.26582895205919455,-0.5186989446751414,0.2528699926159469,0.005942657219157315,0.02350083992837729
2,1.0,0.5,0.37,1.0,0.1,10000,100,-0.26271346078394375,-0.5070694188683248,0.24435595808438093,0.005938154020135633,0.0243012450635031
2,1.0,0.5,0.38,1.0,0.1,10000,100,-0.24835446958816199,-0.5081100876903407,0.25975561810217884,0.006467940835923022,0.02490009988303221
2,1.0,0.5,0.39,1.0,0.1,10000,100,-0.2536188026847055,-0.5005199367861435,0.246901134101438,0.006221722869119245,0.025199247835625917
2,1.0,0.5,0.4,1.0,0.1,10000,100,-0.25839267430822693,-0.5199586236632826,0.2615659493550556,0.00580271866974909,0.022184533896926876
2,1.0,0.5,0.41000000000000003,1.0,0.1,10000,100,-0.24256831282922742,-0.5001363278150576,0.25756801498583015,0.006385796059963185,0.024792659369271813
2,1.0,0.5,0.42,1.0,0.1,10000,100,-0.26131150882878273,-0.5137825947197338,0.25247108589095113,0.006898475452828433,0.027323823749892947
